0.00100	0.00100	-0.00285	-0.00147	0.00100	-0.00086	-0.00072	0.00100	-0.00032	-0.00136	-0.00428	-0.00047	0.00071	-0.00247	0.00100	-0.00019	0.00056	0.00056	-0.00451	0.00100	-0.00017	-0.00081	0.00069	-0.00040	0.00100	0.00029	0.00100	-0.00004	0.00061	-0.00132	0.00100	-0.00214	-0.00203	0.00056	-0.00330	-0.00484	-0.00003	0.00100	0.00100	-0.00020	-0.00083	-0.00178	-0.00450	0.00001	0.00030	-0.00500	-0.00003	0.00100	-0.00142	0.00028	-0.00019	0.00095	-0.00064	0.00100	0.00100	-0.00332	0.00051	0.00100	0.00100	-0.00200
-0.00058	0.00014	-0.00016	-0.00088	0.00100	0.00022	0.00007	0.00038	0.00029	0.00016	0.00100	-0.00118	-0.00130	-0.00017	0.00047	-0.00134	-0.00004	0.00028	0.00100	-0.00435	-0.00174	0.00087	0.00011	0.00100	0.00100	0.00062	0.00100	0.00100	0.00045	-0.00332	-0.00018	0.00022	-0.00028	-0.00061	-0.00009	0.00100	0.00001	-0.00309	0.00100	0.00048	0.00100	-0.00150	-0.00035	0.00034	-0.00087	-0.00053	-0.00036	-0.00155	0.00100	0.00024	-0.00016	-0.00066	0.00030	-0.00161	0.00047	-0.00001	-0.00246	0.00100	-0.00059	-0.00164
-0.00116	0.00023	0.00100	0.00100	-0.00150	0.00052	0.00024	0.00100	0.00100	0.00100	-0.00263	0.00100	0.00100	-0.00348	0.00100	0.00100	0.00100	0.00095	0.00100	0.00100	0.00056	0.00100	-0.00125	-0.00022	0.00005	0.00100	0.00028	0.00100	0.00084	0.00100	-0.00487	0.00100	0.00100	0.00100	0.00100	-0.00068	-0.00091	0.00100	0.00051	-0.00215	0.00100	0.00062	0.00100	-0.00037	0.00100	0.00100	0.00089	0.00100	0.00012	-0.00033	0.00073	0.00100	0.00100	0.00100	-0.00204	-0.00171	0.00100	-0.00079	0.00100	0.00100
-0.00175	0.00100	0.00100	-0.00390	-0.00054	-0.00010	-0.00137	-0.00118	-0.00357	0.00100	-0.00500	-0.00284	0.00010	0.00100	0.00046	-0.00305	0.00100	0.00056	0.00100	-0.00167	0.00100	0.00100	0.00052	0.00009	0.00050	-0.00135	0.00077	0.00019	0.00002	-0.00167	0.00024	0.00067	0.00100	0.00075	-0.00261	-0.00225	0.00100	-0.00013	0.00100	-0.00061	0.00095	-0.00135	-0.00012	-0.00101	0.00100	0.00073	0.00100	0.00100	-0.00039	-0.00118	-0.00140	0.00100	0.00084	0.00100	0.00052	-0.00272	0.00100	-0.00159	0.00100	0.00071
0.00100	0.00100	0.00100	0.00100	-0.00472	0.00073	0.00039	-0.00065	-0.00062	0.00100	-0.00440	0.00100	-0.00167	0.00100	0.00052	0.00075	0.00100	0.00031	0.00100	-0.00069	0.00100	0.00005	-0.00151	0.00100	-0.00007	-0.00153	0.00049	0.00040	0.00052	0.00100	-0.00311	0.00095	0.00029	-0.00040	0.00100	0.00067	0.00100	0.00089	0.00095	-0.00079	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00109	0.00100	0.00100	-0.00500	0.00033	0.00100	-0.00052	0.00018	0.00065	-0.00500	0.00100	0.00100	0.00100	0.00100	0.00100
-0.00018	0.00040	-0.00289	0.00100	-0.00392	0.00085	0.00100	-0.00185	0.00100	-0.00289	-0.00053	-0.00210	-0.00121	-0.00262	-0.00092	0.00100	0.00020	0.00000	0.00100	-0.00249	0.00027	-0.00250	-0.00076	0.00068	0.00057	-0.00120	0.00100	-0.00440	0.00017	-0.00244	0.00100	-0.00125	0.00012	-0.00094	-0.00500	-0.00064	-0.00156	0.00100	-0.00054	-0.00500	-0.00404	0.00100	-0.00241	-0.00004	-0.00152	0.00100	-0.00282	-0.00052	0.00100	0.00079	0.00045	0.00100	-0.00184	-0.00022	0.00096	0.00083	0.00100	0.00100	0.00051	0.00100
0.00100	0.00005	0.00100	-0.00015	-0.00160	-0.00084	0.00081	0.00038	0.00078	-0.00341	0.00100	0.00100	0.00100	0.00100	0.00084	0.00100	0.00100	0.00038	-0.00048	0.00100	-0.00018	0.00100	0.00100	-0.00450	-0.00037	0.00100	0.00038	0.00100	0.00008	0.00002	-0.00026	0.00100	0.00100	-0.00203	-0.00055	0.00100	-0.00216	-0.00021	-0.00115	-0.00057	0.00100	0.00051	0.00100	0.00045	0.00100	-0.00389	-0.00093	-0.00227	0.00029	-0.00063	0.00006	0.00047	0.00023	0.00100	0.00100	-0.00423	0.00100	0.00100	0.00100	0.00028
0.00100	0.00100	-0.00252	0.00100	0.00100	0.00100	0.00100	-0.00160	-0.00039	0.00100	-0.00232	-0.00373	0.00100	0.00100	0.00077	0.00100	0.00100	0.00100	-0.00280	0.00100	0.00100	-0.00107	-0.00106	0.00100	0.00040	0.00100	0.00100	0.00025	0.00066	0.00100	-0.00261	0.00100	0.00100	0.00067	0.00100	-0.00108	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00068	0.00100	0.00100	-0.00347	0.00100	-0.00051	0.00100	0.00100	0.00061	0.00100	0.00100	0.00100	-0.00500	0.00100	0.00100	0.00100	0.00100
-0.00013	0.00047	0.00100	-0.00115	0.00093	-0.00129	-0.00068	-0.00237	-0.00175	0.00073	-0.00146	0.00066	0.00062	-0.00223	0.00062	-0.00242	-0.00067	0.00000	0.00100	-0.00355	-0.00144	-0.00001	0.00012	0.00100	-0.00052	0.00044	-0.00030	0.00100	-0.00001	-0.00179	-0.00500	0.00003	-0.00048	0.00100	-0.00015	0.00100	0.00100	0.00100	-0.00055	-0.00076	0.00100	-0.00103	0.00100	-0.00004	0.00007	0.00001	0.00100	-0.00045	-0.00371	0.00099	0.00011	0.00078	0.00100	0.00074	-0.00114	-0.00159	-0.00082	-0.00094	0.00100	-0.00101
-0.00010	0.00100	0.00081	0.00036	0.00100	0.00038	0.00067	0.00007	-0.00103	0.00042	-0.00142	-0.00326	-0.00082	-0.00065	0.00084	-0.00015	-0.00259	0.00039	0.00091	0.00100	-0.00122	0.00100	0.00089	0.00100	-0.00103	-0.00050	-0.00124	-0.00186	0.00100	-0.00193	0.00100	0.00100	-0.00060	0.00100	-0.00065	-0.00057	-0.00050	-0.00004	0.00100	-0.00250	0.00049	0.00069	0.00100	0.00100	0.00100	0.00028	-0.00142	-0.00240	-0.00136	-0.00029	-0.00091	0.00067	-0.00304	-0.00280	0.00100	-0.00047	0.00007	-0.00465	-0.00283	-0.00027
-0.00087	0.00049	-0.00219	-0.00224	-0.00164	0.00078	0.00100	0.00100	0.00100	-0.00205	-0.00109	0.00100	-0.00058	0.00100	-0.00015	0.00100	0.00100	0.00046	0.00100	0.00100	0.00023	0.00086	0.00007	0.00100	-0.00058	0.00100	-0.00014	-0.00059	-0.00055	0.00100	-0.00114	0.00100	0.00100	-0.00123	-0.00070	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00175	0.00034	-0.00112	0.00100	0.00100	0.00100	0.00100	0.00078	0.00100	-0.00224	-0.00017	-0.00071
-0.00065	-0.00100	0.00100	0.00100	-0.00441	0.00014	-0.00032	-0.00051	0.00018	0.00100	-0.00325	-0.00360	-0.00003	-0.00224	-0.00057	-0.00034	-0.00114	0.00000	0.00100	-0.00197	0.00100	-0.00500	-0.00228	-0.00125	0.00100	-0.00239	0.00100	-0.00059	0.00052	-0.00249	-0.00351	0.00100	-0.00129	-0.00115	-0.00199	-0.00037	0.00100	0.00100	-0.00091	0.00100	0.00100	0.00051	-0.00030	0.00007	-0.00168	0.00100	-0.00307	-0.00040	-0.00004	0.00062	-0.00140	0.00015	-0.00026	0.00100	-0.00093	-0.00191	-0.00337	-0.00124	-0.00009	0.00100
0.00100	0.00077	-0.00274	0.00100	-0.00147	0.00100	0.00022	0.00100	0.00098	0.00100	0.00027	0.00100	0.00100	0.00056	-0.00022	-0.00059	-0.00203	-0.00051	-0.00195	-0.00297	0.00073	0.00100	0.00100	-0.00257	0.00100	0.00100	-0.00135	0.00100	0.00096	0.00078	-0.00368	0.00100	-0.00067	0.00031	0.00100	0.00100	-0.00349	0.00100	0.00100	0.00029	0.00023	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00021	0.00100	-0.00004	0.00100	0.00008	-0.00288	0.00100	0.00100	0.00100	-0.00500	-0.00052	-0.00175	0.00021
-0.00043	-0.00000	-0.00221	0.00100	-0.00257	0.00100	0.00100	-0.00092	0.00100	0.00100	-0.00023	0.00090	0.00100	-0.00098	0.00063	-0.00063	0.00100	0.00100	0.00019	-0.00037	0.00100	0.00100	0.00006	-0.00131	0.00100	-0.00288	-0.00005	0.00100	-0.00028	-0.00022	0.00073	-0.00076	0.00031	-0.00233	-0.00107	0.00100	-0.00011	-0.00019	0.00100	0.00100	0.00100	-0.00159	0.00018	0.00100	0.00100	0.00100	0.00100	0.00100	0.00011	0.00089	-0.00090	-0.00049	0.00100	0.00100	-0.00015	0.00100	-0.00328	-0.00032	-0.00181	0.00100
0.00100	0.00045	0.00100	0.00100	-0.00004	-0.00014	0.00017	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00013	0.00073	-0.00089	0.00100	0.00067	0.00033	0.00100	-0.00058	0.00079	0.00100	0.00007	0.00100	0.00100	0.00049	0.00044	0.00100	-0.00050	-0.00026	0.00059	0.00100	0.00045	-0.00119	0.00100	-0.00037	-0.00107	0.00045	-0.00382	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00347	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00078	-0.00092	0.00100	0.00100	0.00065	0.00100	0.00100	0.00034	-0.00019
0.00100	0.00100	-0.00142	-0.00068	-0.00500	0.00100	0.00036	0.00062	-0.00052	0.00100	-0.00500	0.00045	0.00100	0.00100	0.00098	-0.00230	0.00100	0.00000	-0.00210	-0.00300	-0.00097	0.00050	0.00013	0.00100	0.00100	0.00100	0.00100	-0.00114	0.00100	0.00059	0.00023	0.00100	0.00100	0.00100	-0.00125	-0.00323	0.00100	0.00007	0.00012	0.00100	0.00100	-0.00145	-0.00010	-0.00015	-0.00058	0.00100	-0.00105	0.00078	-0.00326	-0.00110	-0.00024	-0.00039	0.00100	0.00100	0.00073	-0.00335	0.00025	0.00100	-0.00018	0.00100
0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00045	0.00100	0.00100	0.00100	0.00002	-0.00296	0.00100	0.00076	0.00100	0.00095	-0.00144	0.00100	0.00016	0.00100	0.00018	-0.00261	0.00034	-0.00500	0.00041	0.00100	-0.00013	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00066	-0.00369	0.00100	-0.00208	0.00100	0.00100	0.00100	0.00051	0.00083	0.00100	-0.00208	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00007
0.00065	0.00100	0.00083	-0.00098	-0.00057	0.00016	0.00017	0.00098	0.00100	-0.00082	0.00015	0.00062	-0.00139	-0.00042	-0.00033	0.00100	0.00100	0.00074	-0.00097	0.00100	0.00100	0.00045	0.00100	0.00005	0.00065	-0.00458	0.00048	0.00036	0.00039	-0.00063	0.00100	0.00100	-0.00379	0.00056	0.00100	0.00100	-0.00317	-0.00263	-0.00121	-0.00216	0.00079	-0.00045	-0.00249	0.00100	-0.00116	-0.00162	-0.00291	-0.00092	-0.00052	0.00062	0.00062	0.00095	-0.00197	0.00100	0.00078	0.00100	-0.00041	-0.00071	0.00051	0.00100
0.00100	0.00100	0.00100	0.00010	0.00100	0.00038	0.00082	0.00100	-0.00137	-0.00142	0.00100	-0.00368	-0.00022	0.00100	-0.00020	0.00100	0.00100	0.00004	-0.00148	0.00100	-0.00007	0.00100	0.00100	0.00100	0.00025	0.00100	0.00018	0.00100	0.00100	0.00100	0.00100	0.00067	0.00020	0.00100	-0.00279	0.00100	0.00095	-0.00023	0.00044	0.00100	-0.00189	0.00007	0.00100	0.00042	0.00100	0.00100	0.00100	0.00056	0.00100	0.00087	0.00089	0.00058	-0.00037	-0.00010	-0.00278	0.00100	0.00089	-0.00088	0.00100	0.00001
-0.00186	-0.00063	0.00100	-0.00274	-0.00202	0.00031	0.00084	-0.00427	0.00047	0.00034	0.00100	-0.00348	-0.00146	-0.00097	-0.00104	-0.00157	0.00100	0.00100	0.00100	-0.00013	-0.00137	-0.00282	0.00100	-0.00342	-0.00044	0.00100	-0.00040	0.00100	-0.00047	-0.00087	-0.00324	-0.00094	-0.00478	-0.00017	0.00025	-0.00327	-0.00081	-0.00278	-0.00088	-0.00279	-0.00319	-0.00105	0.00100	-0.00086	-0.00412	0.00100	-0.00246	-0.00350	0.00100	-0.00089	0.00095	0.00050	0.00100	0.00100	-0.00048	0.00100	0.00100	0.00100	0.00100	0.00023
-0.00139	0.00077	0.00069	-0.00076	0.00088	0.00032	-0.00235	-0.00042	0.00063	-0.00124	-0.00128	-0.00007	0.00058	-0.00001	0.00000	-0.00375	0.00100	0.00000	0.00095	-0.00298	0.00100	-0.00071	-0.00218	-0.00135	0.00015	-0.00107	0.00000	0.00100	0.00082	0.00076	-0.00006	0.00098	0.00100	-0.00079	0.00051	-0.00218	-0.00176	-0.00294	0.00071	-0.00323	-0.00292	-0.00128	0.00100	-0.00067	-0.00046	-0.00092	0.00100	0.00012	-0.00152	0.00073	0.00100	0.00020	-0.00009	-0.00047	-0.00338	-0.00148	0.00012	-0.00127	0.00070	-0.00011
0.00100	-0.00205	-0.00288	0.00100	-0.00210	-0.00122	0.00012	-0.00109	0.00100	0.00095	-0.00248	0.00100	0.00100	0.00100	0.00100	0.00100	0.00100	0.00000	0.00100	0.00100	-0.00027	0.00100	0.00040	0.00100	0.00095	0.00100	0.00072	0.00026	-0.00017	-0.00279	-0.00239	0.00024	0.00100	0.00100	0.00034	0.00100	0.00062	0.00100	0.00100	-0.00500	0.00100	0.00100	0.00100	0.00100	-0.00065	-0.00073	-0.00309	0.00100	-0.00352	0.00055	-0.00216	-0.00045	0.00100	0.00100	0.00100	-0.00044	-0.00422	0.00097	0.00095	0.00085
0.00100	-0.00274	0.00034	-0.00500	-0.00500	-0.00008	0.00100	-0.00291	-0.00051	-0.00429	-0.00211	0.00100	-0.00058	-0.00175	0.00100	0.00100	-0.00061	0.00005	-0.00070	0.00100	-0.00021	0.00089	-0.00020	-0.00043	0.00062	0.00100	-0.00118	0.00100	-0.00098	0.00075	0.00100	0.00100	0.00100	0.00100	-0.00205	-0.00206	-0.00131	-0.00228	0.00100	0.00100	-0.00500	0.00007	-0.00098	-0.00055	-0.00500	-0.00052	0.00100	0.00100	-0.00019	0.00072	0.00100	0.00047	0.00100	-0.00500	-0.00500	0.00018	-0.00138	-0.00457	-0.00006	0.00053
0.00100	-0.00022	0.00100	-0.00214	0.00100	0.00057	-0.00004	-0.00375	0.00025	0.00100	0.00100	0.00073	0.00100	0.00100	0.00033	-0.00117	0.00100	0.00000	0.00100	0.00100	0.00012	-0.00114	0.00100	0.00100	0.00050	-0.00010	-0.00009	-0.00040	0.00020	0.00100	-0.00498	-0.00208	0.00100	0.00100	0.00091	-0.00151	-0.00500	0.00100	0.00100	0.00100	-0.00167	0.00100	0.00100	0.00100	-0.00010	0.00100	0.00100	-0.00186	-0.00026	-0.00123	0.00100	0.00025	0.00043	-0.00304	-0.00385	0.00100	0.00100	-0.00401	0.00100	0.00045
-0.00095	-0.00139	-0.00151	0.00100	0.00100	0.00041	-0.00091	0.00100	-0.00196	0.00100	-0.00081	-0.00205	-0.00241	-0.00083	0.00100	0.00100	-0.00160	0.00000	0.00100	-0.00500	-0.00062	0.00100	0.00100	-0.00004	0.00016	0.00067	-0.00074	0.00100	-0.00011	0.00084	0.00100	-0.00230	-0.00080	0.00056	0.00100	0.00100	0.00077	-0.00115	0.00066	-0.00478	0.00100	0.00034	-0.00143	-0.00060	0.00100	-0.00037	0.00097	-0.00120	-0.00440	-0.00048	-0.00284	-0.00001	0.00100	0.00100	-0.00083	-0.00020	-0.00415	0.00100	0.00089	-0.00054
-0.00087	-0.00249	-0.00328	-0.00151	0.00007	-0.00130	0.00002	-0.00059	0.00100	0.00100	0.00073	-0.00500	0.00071	0.00100	-0.00022	-0.00496	-0.00095	0.00022	-0.00229	-0.00434	0.00073	-0.00500	0.00100	-0.00284	0.00028	0.00100	0.00049	0.00081	0.00100	-0.00041	-0.00252	0.00084	0.00100	-0.00039	-0.00155	-0.00056	-0.00397	0.00083	0.00100	0.00100	-0.00427	-0.00048	0.00100	-0.00184	-0.00294	0.00027	-0.00169	-0.00007	-0.00500	-0.00138	0.00078	0.00042	-0.00500	0.00100	-0.00065	0.00100	-0.00401	0.00100	0.00100	0.00100
0.00100	0.00084	0.00100	0.00046	-0.00378	0.00070	0.00046	-0.00084	-0.00028	0.00062	0.00100	-0.00393	0.00051	0.00100	0.00093	-0.00047	0.00100	0.00000	0.00012	0.00100	0.00100	-0.00000	0.00001	-0.00191	0.00100	0.00100	0.00046	-0.00175	0.00089	-0.00043	0.00100	0.00100	0.00100	-0.00110	0.00051	0.00100	0.00100	0.00036	-0.00117	0.00100	-0.00266	0.00093	-0.00020	-0.00001	-0.00224	-0.00118	-0.00063	0.00100	-0.00243	0.00054	0.00001	0.00077	-0.00412	-0.00182	0.00100	-0.00217	-0.00158	-0.00296	0.00004	0.00039
0.00100	0.00032	-0.00087	-0.00192	0.00100	0.00024	-0.00053	0.00100	-0.00500	-0.00114	-0.00092	0.00100	0.00099	-0.00434	0.00094	0.00056	-0.00175	0.00028	-0.00197	0.00100	0.00074	-0.00004	0.00100	0.00100	0.00043	0.00013	0.00096	0.00100	-0.00025	0.00100	-0.00500	-0.00086	-0.00237	0.00100	-0.00048	-0.00081	-0.00203	-0.00136	-0.00225	0.00100	-0.00351	0.00100	0.00062	-0.00237	-0.00000	-0.00280	0.00088	-0.00309	-0.00219	0.00037	-0.00035	0.00096	0.00100	0.00100	-0.00500	-0.00407	0.00100	-0.00046	0.00017	-0.00031
0.00100	0.00100	0.00100	0.00100	-0.00358	-0.00001	0.00100	0.00007	0.00100	-0.00285	0.00100	-0.00103	-0.00033	0.00100	0.00100	0.00100	0.00089	0.00000	0.00100	-0.00489	0.00100	0.00100	0.00006	0.00100	-0.00007	-0.00040	0.00048	-0.00153	0.00100	-0.00021	-0.00078	0.00100	0.00100	0.00100	0.00088	0.00077	0.00100	0.00100	0.00100	-0.00066	0.00100	0.00051	-0.00038	0.00084	0.00100	0.00100	-0.00302	0.00100	0.00078	0.00100	0.00015	0.00078	-0.00324	0.00062	0.00100	0.00100	-0.00500	0.00100	-0.00334	0.00039
0.00100	-0.00099	-0.00066	-0.00437	-0.00015	0.00090	0.00036	0.00084	-0.00319	-0.00032	-0.00123	-0.00295	0.00100	-0.00159	0.00037	-0.00386	-0.00104	0.00054	-0.00174	0.00056	0.00100	-0.00102	0.00100	0.00100	-0.00113	0.00081	-0.00035	-0.00237	0.00087	0.00100	0.00015	0.00100	-0.00500	-0.00033	0.00100	0.00100	-0.00164	-0.00166	0.00100	-0.00125	-0.00021	-0.00004	0.00067	0.00007	-0.00197	-0.00172	0.00014	0.00100	-0.00026	0.00070	-0.00102	0.00100	0.00100	0.00100	-0.00021	0.00100	-0.00093	-0.00242	-0.00092	0.00100
-0.00330	0.00100	-0.00118	0.00007	0.00100	0.00063	0.00078	-0.00087	-0.00080	0.00029	0.00100	-0.00062	-0.00194	-0.00162	-0.00070	0.00100	-0.00048	0.00100	-0.00083	-0.00264	0.00040	-0.00016	0.00100	0.00073	0.00084	-0.00037	0.00096	-0.00189	0.00100	0.00100	0.00100	-0.00161	-0.00176	-0.00214	-0.00092	0.00100	0.00100	-0.00328	0.00100	-0.00117	0.00100	0.00094	-0.00211	-0.00050	-0.00267	0.00100	0.00100	-0.00077	-0.00142	-0.00272	0.00100	0.00028	0.00027	0.00100	-0.00088	-0.00137	-0.00278	-0.00190	0.00095	-0.00062
-0.00050	-0.00026	0.00062	0.00100	0.00100	0.00062	-0.00068	0.00100	-0.00110	0.00100	0.00034	0.00100	0.00100	0.00100	0.00028	-0.00187	0.00100	0.00093	0.00100	0.00100	0.00077	0.00100	0.00056	0.00100	0.00016	-0.00052	-0.00050	-0.00268	0.00100	0.00079	-0.00290	-0.00284	0.00100	0.00100	-0.00159	0.00100	0.00100	-0.00500	0.00100	0.00100	0.00100	-0.00039	0.00100	0.00100	0.00100	-0.00500	0.00100	-0.00186	0.00100	0.00056	0.00100	0.00057	0.00100	-0.00500	-0.00002	-0.00500	0.00066	-0.00153	0.00100	0.00100
-0.00132	0.00100	-0.00054	0.00100	0.00100	0.00048	-0.00021	-0.00015	0.00100	0.00077	0.00100	-0.00186	0.00018	-0.00500	0.00100	0.00100	0.00051	0.00084	-0.00500	0.00100	0.00100	0.00100	-0.00038	-0.00324	0.00098	0.00066	0.00000	0.00062	0.00003	0.00100	-0.00295	0.00037	0.00065	0.00100	-0.00045	-0.00081	-0.00159	-0.00029	0.00100	0.00100	0.00100	0.00100	0.00100	-0.00028	0.00084	0.00100	0.00100	-0.00036	-0.00344	0.00100	-0.00183	0.00056	-0.00270	0.00100	-0.00206	0.00100	0.00100	0.00038	-0.00041	-0.00151
